clone_id	n_seq	freq	rank
2442	20	0.0020008003201280513	1
6701	11	0.0011004401760704283	2
2422	8	8.003201280512205e-4	3
9324	8	8.003201280512205e-4	4
7440	7	7.002801120448179e-4	5
5501	6	6.002400960384153e-4	6
6556	6	6.002400960384153e-4	7
9305	6	6.002400960384153e-4	8
2546	5	5.002000800320128e-4	9
3860	5	5.002000800320128e-4	10
3866	5	5.002000800320128e-4	11
5519	5	5.002000800320128e-4	12
8261	5	5.002000800320128e-4	13
425	4	4.0016006402561027e-4	14
565	4	4.0016006402561027e-4	15
625	4	4.0016006402561027e-4	16
764	4	4.0016006402561027e-4	17
1345	4	4.0016006402561027e-4	18
1637	4	4.0016006402561027e-4	19
1651	4	4.0016006402561027e-4	20
2342	4	4.0016006402561027e-4	21
2580	4	4.0016006402561027e-4	22
2618	4	4.0016006402561027e-4	23
2955	4	4.0016006402561027e-4	24
3332	4	4.0016006402561027e-4	25
3491	4	4.0016006402561027e-4	26
3669	4	4.0016006402561027e-4	27
3847	4	4.0016006402561027e-4	28
3865	4	4.0016006402561027e-4	29
4949	4	4.0016006402561027e-4	30
5527	4	4.0016006402561027e-4	31
5779	4	4.0016006402561027e-4	32
7457	4	4.0016006402561027e-4	33
8257	4	4.0016006402561027e-4	34
8285	4	4.0016006402561027e-4	35
8309	4	4.0016006402561027e-4	36
8385	4	4.0016006402561027e-4	37
9313	4	4.0016006402561027e-4	38
122	3	3.0012004801920766e-4	39
135	3	3.0012004801920766e-4	40
473	3	3.0012004801920766e-4	41
514	3	3.0012004801920766e-4	42
1028	3	3.0012004801920766e-4	43
1192	3	3.0012004801920766e-4	44
1368	3	3.0012004801920766e-4	45
2031	3	3.0012004801920766e-4	46
2055	3	3.0012004801920766e-4	47
2113	3	3.0012004801920766e-4	48
2333	3	3.0012004801920766e-4	49
2399	3	3.0012004801920766e-4	50
2467	3	3.0012004801920766e-4	51
2568	3	3.0012004801920766e-4	52
2574	3	3.0012004801920766e-4	53
