clone_id	n_seq	freq
2442	20	0.0020008003201280513
6701	11	0.0011004401760704283
2422	8	8.003201280512205e-4
9324	8	8.003201280512205e-4
7440	7	7.002801120448179e-4
5501	6	6.002400960384153e-4
6556	6	6.002400960384153e-4
9305	6	6.002400960384153e-4
2546	5	5.002000800320128e-4
3860	5	5.002000800320128e-4
