clone_id	n_seq	freq	cum_freq	rank
551	15	0.015	0.015	1
781	12	0.012	0.027	2
721	11	0.011	0.038	3
297	7	0.007	0.045	4
533	7	0.007	0.052	5
564	6	0.006	0.057999999999999996	6
539	5	0.005	0.063	7
546	5	0.005	0.068	8
788	5	0.005	0.073	9
377	4	0.004	0.077	10
704	4	0.004	0.081	11
780	4	0.004	0.085	12
70	3	0.003	0.088	13
93	3	0.003	0.091	14
205	3	0.003	0.094	15
270	3	0.003	0.097	16
502	3	0.003	0.1	17
538	3	0.003	0.103	18
777	3	0.003	0.106	19
793	3	0.003	0.109	20
801	3	0.003	0.112	21
836	3	0.003	0.115	22
837	3	0.003	0.118	23
34	2	0.002	0.12	24
44	2	0.002	0.122	25
45	2	0.002	0.124	26
46	2	0.002	0.126	27
71	2	0.002	0.128	28
108	2	0.002	0.13	29
136	2	0.002	0.132	30
152	2	0.002	0.134	31
219	2	0.002	0.136	32
224	2	0.002	0.138	33
225	2	0.002	0.14	34
234	2	0.002	0.14200000000000002	35
235	2	0.002	0.144	36
244	2	0.002	0.146	37
246	2	0.002	0.148	38
256	2	0.002	0.15	39
287	2	0.002	0.152	40
288	2	0.002	0.154	41
294	2	0.002	0.156	42
300	2	0.002	0.158	43
303	2	0.002	0.16	44
308	2	0.002	0.162	45
353	2	0.002	0.164	46
357	2	0.002	0.166	47
364	2	0.002	0.168	48
383	2	0.002	0.17	49
393	2	0.002	0.17200000000000001	50
433	2	0.002	0.174	51
465	2	0.002	0.176	52
492	2	0.002	0.178	53
493	2	0.002	0.18	54
497	2	0.002	0.182	55
522	2	0.002	0.184	56
528	2	0.002	0.186	57
530	2	0.002	0.188	58
535	2	0.002	0.19	59
567	2	0.002	0.192	60
585	2	0.002	0.194	61
729	2	0.002	0.196	62
734	2	0.002	0.198	63
737	2	0.002	0.2	64
741	2	0.002	0.202	65
747	2	0.002	0.20400000000000001	66
754	2	0.002	0.20600000000000002	67
771	2	0.002	0.208	68
792	2	0.002	0.21	69
797	2	0.002	0.212	70
811	2	0.002	0.214	71
854	2	0.002	0.216	72
1	1	0.001	0.217	73
2	1	0.001	0.218	74
3	1	0.001	0.219	75
4	1	0.001	0.22	76
5	1	0.001	0.221	77
6	1	0.001	0.222	78
7	1	0.001	0.223	79
8	1	0.001	0.224	80
9	1	0.001	0.225	81
10	1	0.001	0.226	82
11	1	0.001	0.227	83
12	1	0.001	0.228	84
13	1	0.001	0.229	85
14	1	0.001	0.23	86
15	1	0.001	0.231	87
16	1	0.001	0.232	88
17	1	0.001	0.233	89
18	1	0.001	0.234	90
19	1	0.001	0.23500000000000001	91
20	1	0.001	0.23600000000000002	92
21	1	0.001	0.23700000000000002	93
22	1	0.001	0.238	94
23	1	0.001	0.239	95
24	1	0.001	0.24	96
25	1	0.001	0.241	97
26	1	0.001	0.242	98
27	1	0.001	0.243	99
28	1	0.001	0.244	100
29	1	0.001	0.245	101
30	1	0.001	0.246	102
31	1	0.001	0.247	103
32	1	0.001	0.248	104
33	1	0.001	0.249	105
35	1	0.001	0.25	106
36	1	0.001	0.251	107
37	1	0.001	0.252	108
38	1	0.001	0.253	109
39	1	0.001	0.254	110
40	1	0.001	0.255	111
41	1	0.001	0.256	112
42	1	0.001	0.257	113
43	1	0.001	0.258	114
47	1	0.001	0.259	115
48	1	0.001	0.26	116
49	1	0.001	0.261	117
50	1	0.001	0.262	118
51	1	0.001	0.263	119
52	1	0.001	0.264	120
53	1	0.001	0.265	121
54	1	0.001	0.266	122
55	1	0.001	0.267	123
56	1	0.001	0.268	124
57	1	0.001	0.269	125
58	1	0.001	0.27	126
59	1	0.001	0.271	127
60	1	0.001	0.272	128
61	1	0.001	0.273	129
62	1	0.001	0.274	130
63	1	0.001	0.275	131
64	1	0.001	0.276	132
65	1	0.001	0.277	133
66	1	0.001	0.278	134
67	1	0.001	0.279	135
68	1	0.001	0.28	136
69	1	0.001	0.281	137
72	1	0.001	0.28200000000000003	138
73	1	0.001	0.28300000000000003	139
74	1	0.001	0.28400000000000003	140
75	1	0.001	0.28500000000000003	141
76	1	0.001	0.28600000000000003	142
77	1	0.001	0.287	143
78	1	0.001	0.288	144
79	1	0.001	0.289	145
80	1	0.001	0.29	146
