mu_freq_seq_r	mu_freq_seq_s	mu_freq_cdr1_r	mu_freq_cdr1_s	mu_freq_cdr2_r	mu_freq_cdr2_s	mu_freq_fwr1_r	mu_freq_fwr1_s	mu_freq_fwr2_r	mu_freq_fwr2_s	mu_freq_fwr3_r	mu_freq_fwr3_s
0.013927576601671309	0.002785515320334262	0.125	0	0	0	0	0	0.0196078431372549	0	0.008771929824561403	0.008771929824561403
0.013812154696132596	0	0	0	0	0	0	0	0.0196078431372549	0	0.017543859649122806	0
0.005633802816901409	0.0028169014084507044	0	0	0	0.041666666666666664	0	0	0.0196078431372549	0	0.008771929824561403	0
0.013850415512465374	0.008310249307479225	0	0	0.041666666666666664	0	0	0	0	0.0196078431372549	0.017543859649122806	0
0.011111111111111112	0.005555555555555556	0	0	0	0	0	0	0	0	0.017543859649122806	0.008771929824561403
0.005555555555555556	0.002777777777777778	0.03333333333333333	0	0	0.047619047619047616	0	0	0	0	0.008771929824561403	0
0.016853932584269662	0.011235955056179775	0	0	0	0	0	0	0.0196078431372549	0.0196078431372549	0.03508771929824561	0.017543859649122806
0.005571030640668524	0.002785515320334262	0.041666666666666664	0	0.041666666666666664	0	0	0	0	0	0	0.008771929824561403
0.0196078431372549	0.0056022408963585435	0.08333333333333333	0	0.041666666666666664	0	0	0	0.0392156862745098	0	0	0
0.01977401129943503	0.014124293785310734	0	0	0	0.08333333333333333	0	0	0.058823529411764705	0	0.03508771929824561	0.017543859649122806
0.019943019943019943	0.005698005698005698	0.041666666666666664	0	0	0.041666666666666664	0	0	0	0	0.008771929824561403	0
0.011204481792717087	0.0028011204481792717	0.041666666666666664	0	0	0	0	0	0	0.0196078431372549	0.017543859649122806	0
0.0110803324099723	0	0	0	0	0	0	0	0.0196078431372549	0	0	0
0.008356545961002786	0.005571030640668524	0.041666666666666664	0.041666666666666664	0	0	0	0	0	0	0.017543859649122806	0.008771929824561403
0.0028328611898017	0.0056657223796034	0	0	0	0	0	0	0	0	0	0.008771929824561403
0.00847457627118644	0	0.041666666666666664	0	0	0	0	0	0	0	0.017543859649122806	0
0.008547008547008548	0.008547008547008548	0	0.041666666666666664	0	0	0	0	0	0	0.017543859649122806	0.008771929824561403
0.014005602240896359	0.0028011204481792717	0	0	0.08333333333333333	0	0	0	0.0392156862745098	0	0.008771929824561403	0
0.0056022408963585435	0.008403361344537815	0	0.041666666666666664	0	0	0	0	0	0.0196078431372549	0	0.008771929824561403
0.0169971671388102	0.0084985835694051	0.08333333333333333	0	0	0.03333333333333333	0	0	0	0	0.02631578947368421	0.008771929824561403
0.011396011396011397	0.002849002849002849	0	0	0	0	0	0	0.0392156862745098	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
