group	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper	indice_clasico
All	0	28.92	0.9814439990301653	26.996405109057914	30.84359489094209	1	0.9334856538401768	1.0665143461598232	28.92
All	1	28.55452405555485	1.295209371992894	26.01596033401004	31.09308777709966	0.987362519210057	0.8995836906642475	1.0751413477558664	3.3518153843384466
All	2	28.04295665634675	1.7206224880222973	24.670598548833347	31.415314763860152	0.9696734666786566	0.8530635736111115	1.0862833597462016	0.03565957799152671
All	3	27.371199820429617	2.2464319225185374	22.96827415857221	31.774125482287022	0.946445360319143	0.7942003512645992	1.0986903693736867	0.0013347881106908802
All	4	26.568642841188307	2.807449077277172	21.066143761294846	32.07114192108177	0.9186944274269815	0.728428207513653	1.10896064734031	5.332021451204504e-5
