mu_freq_seq_r	mu_freq_seq_s
0	0
0	0
0	0
0	0
0.005571030640668524	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.002777777777777778
0	0
0	0
0	0
0	0.002849002849002849
0.014124293785310734	0.00847457627118644
0	0
0.002777777777777778	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.002793296089385475
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.0027472527472527475
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.002785515320334262	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.0028169014084507044
