mu_freq_seq_r	mu_freq_seq_s
0.0110803324099723	0.00554016620498615
0.011267605633802818	0
0.005555555555555556	0.008333333333333333
0.021917808219178082	0.0027397260273972603
0.005555555555555556	0.002777777777777778
0.01662049861495845	0.008310249307479225
0.01098901098901099	0.0027472527472527475
0.008108108108108109	0.002702702702702703
0.005434782608695652	0.002717391304347826
0.016483516483516484	0.0027472527472527475
0.013812154696132596	0.0055248618784530384
0.013623978201634877	0.005449591280653951
0.030136986301369864	0.005479452054794521
0.019498607242339833	0.002785515320334262
0.019390581717451522	0
0.00821917808219178	0.00821917808219178
0.013850415512465374	0
0.008426966292134831	0.008426966292134831
0.019662921348314606	0.0056179775280898875
0.008264462809917356	0.0027548209366391185
0.005494505494505495	0.0027472527472527475
0.01871657754010695	0.0053475935828877
0.008130081300813009	0.005420054200542005
0.02452316076294278	0
0.01928374655647383	0.005509641873278237
0.011049723756906077	0
0.008379888268156424	0
0.013550135501355014	0.0027100271002710027
0.026954177897574125	0
0.024456521739130436	0.002717391304347826
0.0215633423180593	0.013477088948787063
0.038781163434903045	0
0.019444444444444445	0.008333333333333333
0.0027397260273972603	0.0027397260273972603
0.016713091922005572	0.005571030640668524
0.019337016574585635	0.0027624309392265192
0.01098901098901099	0.0027472527472527475
0.005449591280653951	0
0.013850415512465374	0.00554016620498615
0.016483516483516484	0.0027472527472527475
0.01643835616438356	0.005479452054794521
0.01634877384196185	0.005449591280653951
0.01084010840108401	0.01084010840108401
0.005479452054794521	0.00821917808219178
0.008310249307479225	0.008310249307479225
0.01907356948228883	0.005449591280653951
0.01928374655647383	0.008264462809917356
0.005479452054794521	0.010958904109589041
0.019444444444444445	0.002777777777777778
0.019553072625698324	0.00558659217877095
0.01652892561983471	0.0027548209366391185
0.008450704225352112	0.005633802816901409
0.010899182561307902	0.005449591280653951
0.01358695652173913	0.005434782608695652
0.02005730659025788	0.0057306590257879654
0.016574585635359115	0.0027624309392265192
0.0273224043715847	0
0.03038674033149171	0.0027624309392265192
0.008287292817679558	0.0027624309392265192
0.01907356948228883	0
0.016574585635359115	0.0027624309392265192
0.005479452054794521	0.0027397260273972603
0.013966480446927373	0.01675977653631285
0.013966480446927373	0.00558659217877095
