mu_freq_seq_r	mu_freq_seq_s
0.008108108108108109	0.010810810810810811
0.011019283746556474	0.005509641873278237
0.00819672131147541	0.00819672131147541
0.005571030640668524	0.005571030640668524
0.0027397260273972603	0.00821917808219178
0.00554016620498615	0.002770083102493075
0.005571030640668524	0.005571030640668524
0.005571030640668524	0
0.0056657223796034	0.0056657223796034
0.011049723756906077	0.0055248618784530384
0.0027397260273972603	0
0.01652892561983471	0.005509641873278237
0	0.0028089887640449437
0.013888888888888888	0.008333333333333333
0.011142061281337047	0.002785515320334262
0.013404825737265416	0.0160857908847185
0.021621621621621623	0.005405405405405406
0.008086253369272238	0.005390835579514825
0.005434782608695652	0
0.0027100271002710027	0.01084010840108401
0.008064516129032258	0.008064516129032258
0.00273224043715847	0.00819672131147541
0.005479452054794521	0.00821917808219178
0.00554016620498615	0.002770083102493075
0.00847457627118644	0.002824858757062147
0.005390835579514825	0
0.008152173913043478	0
0.0027548209366391185	0
0.0027247956403269754	0
0.013513513513513514	0.008108108108108109
0.013157894736842105	0.007894736842105263
0.010752688172043012	0.005376344086021506
0.008152173913043478	0.005434782608695652
0.010610079575596816	0.005305039787798408
0.008021390374331552	0.00267379679144385
0.0106951871657754	0.00267379679144385
0.010810810810810811	0.005405405405405406
0.008	0
0.010869565217391304	0
0.013812154696132596	0
0.00819672131147541	0.00273224043715847
0.0055248618784530384	0.008287292817679558
0.024793388429752067	0.005509641873278237
0.002793296089385475	0.002793296089385475
0.0027548209366391185	0.011019283746556474
0.01098901098901099	0.005494505494505495
0.00821917808219178	0
0.008086253369272238	0.013477088948787063
0.013404825737265416	0.005361930294906166
0.011299435028248588	0.002824858757062147
0.00273224043715847	0.00273224043715847
0.01092896174863388	0.00819672131147541
0.011111111111111112	0
0.016129032258064516	0.002688172043010753
0.011235955056179775	0
0.005449591280653951	0.0027247956403269754
0.005571030640668524	0.005571030640668524
0.0110803324099723	0.00554016620498615
0.008426966292134831	0
0.00821917808219178	0
0.011019283746556474	0.005509641873278237
0.008310249307479225	0
0.008	0.0026666666666666666
0.002717391304347826	0.010869565217391304
0	0.0056657223796034
0.0056179775280898875	0.0056179775280898875
0.008379888268156424	0.00558659217877095
0.0084985835694051	0.0028328611898017
0.011363636363636364	0.008522727272727272
0.0029498525073746312	0
0.011111111111111112	0
0.008130081300813009	0.005420054200542005
0.014005602240896359	0
0.020114942528735632	0
0.002849002849002849	0.005698005698005698
0.0026595744680851063	0.0026595744680851063
0.01078167115902965	0.0026954177897574125
0.008064516129032258	0
0.005449591280653951	0.005449591280653951
0.002680965147453083	0.005361930294906166
0.005390835579514825	0.005390835579514825
0.00546448087431694	0.00819672131147541
0.008287292817679558	0.0027624309392265192
0.005479452054794521	0
0.005361930294906166	0.005361930294906166
0.013297872340425532	0.007978723404255319
0.0027472527472527475	0.008241758241758242
0.002857142857142857	0.002857142857142857
0.008264462809917356	0.008264462809917356
0.005714285714285714	0.005714285714285714
0.008645533141210375	0.002881844380403458
0.002824858757062147	0.005649717514124294
0.008241758241758242	0.005494505494505495
0.002770083102493075	0.002770083102493075
0.008356545961002786	0.002785515320334262
0.005681818181818182	0.002840909090909091
0.005555555555555556	0.005555555555555556
0	0.0056022408963585435
0.002857142857142857	0.008571428571428572
0.016901408450704224	0.005633802816901409
