sample_id	condition	size	richness	d1	shannon	d2	simpson	d3	d4	chao1	ace	gini	pielou	basharin	d50
A100seq	A	100	100	100.00000000006726	4.605170185988764	100.0	0.01	99.99999999999999	99.99999999999997	5050.0	NA	0.0	0.9999999999999998	5.100170185988091	50
A200seq	A	200	197	195.88419644880267	5.277523650174182	194.17475728155338	0.00515	191.56525704423026	187.68729371933944	4877.25	6566.666666666661	0.014771573604060896	0.998924747577715	5.767522951131238	97
A400seq	A	400	394	391.7683928979906	5.97067083073511	388.34951456310677	0.002575	383.13051408846053	375.3745874386788	11119.42857142857	13133.333333333321	0.014771573604060896	0.9990494571532083	6.461920131691183	194
A800seq	A	800	770	754.8053489728018	6.6264599000787205	725.6235827664399	0.001378125	669.5791605098995	580.4895735062369	14701.55	17159.06399553374	0.03660714285714286	0.9970008790282195	7.107082185668006	370
A1600seq	A	1600	1522	1475.4145695818515	7.296694293406088	1377.8256189451022	0.0007257812500000001	1191.7422763581737	952.0719700315708	30782.972972972973	35926.54784240153	0.047610873850197036	0.995757148061601	7.772002350560027	722
A3200seq	A	3200	2983	2854.119562492711	7.956518690113995	2549.800796812749	0.0003921875	1877.486876316344	1171.5169730981934	39968.1376146789	44443.64888399144	0.06549761146496814	0.9944788927105577	8.422449645430433	1383
A6400seq	A	6400	5496	4689.44208624131	8.453068896206739	2456.2245142720076	0.00040712890625	892.0591684508614	498.8815346280519	57526.2	64425.24587702726	0.1359197029657933	0.9815675336980199	8.882336441043577	2296
A12800seq	A	12800	9874	7309.767917835766	8.896966803653749	2722.752447436217	0.0003672754021180348	961.1911805049192	555.4954634428467	85313.91477272728	100143.13242342285	0.21864359592479438	0.967301645248619	9.282606153690345	3475
A25600seq	A	25600	17268	9240.652710335067	9.131367801787519	1368.4408343947716	0.0007307586669921874	445.18613364469076	273.57074025761176	142393.96656217345	174991.87603221976	0.3142019242601923	0.9359029250828019	9.468486265455637	4468
A51200seq	A	51200	28960	9424.777796565337	9.151097436077057	642.0157855379125	0.0015575941005284638	224.04190556587884	144.7909557156202	253094.44436997318	291934.9473033923	0.4227255909277747	0.8907096144017119	9.433676703994514	3362
A102400seq	A	102400	28631	8741.422548646342	9.075828218408134	405.8402404577677	0.0024640237716990546	146.31171449017867	96.96801981000463	235396.74809160305	274410.3483262659	0.40851148083978206	0.8843628647467752	9.36564898924343	3959
B100seq	B	100	97	96.26596550825703	4.567114834822552	95.15533980582524	0.010509131721252934	93.49562787870046	91.11272152375406	1585.3333333333333	2400.7499999999977	0.019785483703009452	0.9983393322345865	5.051962388293784	48
B200seq	B	200	200	199.99999999992943	5.298317366547684	200.0	0.005	199.99999999999997	199.99999999999994	20100.0	NA	0.0	1.0	5.795817366548036	100
B400seq	B	400	399	398.61615276948874	5.9879989307145	398.00995024875624	0.0025125	397.0333335883721	395.4393419370464	39900.5	79799.99999999993	0.0024937343358396105	0.9998392700140016	6.485498811205182	199
B800seq	B	800	789	784.8956842495043	6.665550822645877	778.588807785888	0.0012843750000000001	768.9109301315403	754.4037833922963	25976.75	28690.909090909125	0.013558301647655249	0.9992180597561865	7.158050180202529	389
B1600seq	B	1600	1558	1541.3114772377667	7.340388941590768	1514.792899408284	0.00066015625	1472.9193886373173	1409.9762843579779	32718.027027027027	33254.34912595402	0.02563623234916565	0.9985348383043843	7.826950090978917	758
B3200seq	B	3200	3065	3005.937854715909	8.008344896352012	2907.4389551391255	0.0003439453125	2747.7682607429874	2517.743680529161	49931.967741935485	49236.01642445197	0.040866843393148465	0.9975758672656629	8.487092388700773	1465
B6400seq	B	6400	5936	5695.198380842461	8.647378709487485	5204.932121520274	0.00019212546420450081	4217.184200933839	2951.800028276121	69308.66532258064	74647.69756181151	0.06930904698299814	0.9952331826509818	9.111117241244369	2737
B12800seq	B	12800	11060	10057.861314054155	9.216109828016261	8001.407132388861	0.00012497801742297355	4989.915844322313	2956.5868130738463	83200.06151645207	98271.900775879	0.12753272649122674	0.9897977080235648	9.64815551029868	4661
B25600seq	B	25600	19766	15667.461389422147	9.659341317721909	8318.586251555398	0.00012021273444306974	3587.728831347202	2063.683664676492	136646.1826554106	157628.4711696446	0.2138218555758413	0.9765040675229644	10.045398901027891	6968
B51200seq	B	51200	33312	19816.909809632387	9.894290882995348	4878.114467787324	0.0002049972395284099	1671.7955780729344	982.9165459023676	198984.49430431245	229055.43695810728	0.3292584158306977	0.9501159884110727	10.219525338862114	7714
B102400seq	B	102400	53725	19588.607383201448	9.882703420264765	2166.282274627848	0.00046162035839571874	781.640615146062	492.3540396241932	317189.75423728814	349959.6244929491	0.453111411791238	0.9073486522162794	10.144853892076938	5478
C100seq	C	100	100	100.00000000006726	4.605170185988764	100.0	0.01	99.99999999999999	99.99999999999997	5050.0	NA	0.0	0.9999999999999998	5.100170185988091	50
C200seq	C	200	198	197.24663376911073	5.284454893771036	196.078431372549	0.0051	194.25717247145283	191.45279541171115	6568.0	9899.99999999999	0.009898989898989938	0.9992790440165809	5.7769544229368375	98
C400seq	C	400	395	393.12846961030164	5.974136453133537	390.2439024390244	0.0025625	385.79425773632966	379.0653046069715	13037.5	15799.999999999985	0.012341772151898734	0.9992055547648989	6.466635867593983	195
C800seq	C	800	784	778.1246757115471	6.6568867628967405	769.2307692307692	0.0013000000000000002	755.9289460184544	736.8062997280771	18109.176470588234	19599.99999999998	0.019591836734693894	0.9988711407295222	7.146260840445529	384
C1600seq	C	1600	1554	1528.923831909912	7.332319389063574	1476.3552479815455	0.00067734375	1360.7784178001991	1152.7798681427807	42784.0	50166.97936210122	0.028261743886743917	0.9977859116915507	7.81762960919175	754
C3200seq	C	3200	2995	2868.789361946646	7.961645394654731	2587.1652349671554	0.0003865234375	2041.5426053883552	1445.8787372739876	44021.8	54236.74787397187	0.062139607679465844	0.9946206034522391	8.429451557636638	1395
C6400seq	C	6400	5613	5080.6158689920185	8.53318776727782	3966.5120155038762	0.0002521106695482851	2536.3263561979616	1653.0100044238293	61733.38271604938	70682.34797092492	0.11750275827221301	0.9884547806807542	8.971747131242896	2414
C12800seq	C	12800	10204	7975.590512658946	8.98414097038629	3757.8305878034234	0.00026611098521728017	1600.435987859938	999.0116317880475	90650.90485074627	109791.56940184376	0.19412946052122876	0.9733019323965967	9.38271460110177	3805
C25600seq	C	25600	17494	9622.941848399241	9.171905302357704	1813.0765628891656	0.0005515486882729787	683.4379220116484	438.7665620402115	143182.50715746422	167603.67465901544	0.30567376186826656	0.9388075195483346	9.513499925519266	4696
C51200seq	C	51200	28711	8543.043357119568	9.05287258830198	726.9844641289468	0.0013755452136080693	304.1834472411238	206.75621410741155	234997.19196988706	275684.64819869096	0.4288637790310926	0.8818885797182493	9.333016145610232	3114
C102400seq	C	102400	45011	5793.142135804154	8.66443010658091	404.89031991335264	0.002469804662689891	204.60883840125342	149.4861354846067	385644.79600333056	457865.95092251024	0.5525654105089619	0.8086138134824988	8.883829290385622	668
D100seq	D	100	100	100.00000000006726	4.605170185988764	100.0	0.01	99.99999999999999	99.99999999999997	5050.0	NA	0.0	0.9999999999999998	5.100170185988091	50
D200seq	D	200	198	197.24663376911073	5.284454893771036	196.078431372549	0.0051	194.25717247145283	191.45279541171115	6568.0	9899.99999999999	0.009898989898989938	0.9992790440165809	5.7769544229368375	98
D400seq	D	400	383	373.4670629602183	5.9228298158388935	353.98230088495575	0.002825	316.2277660168379	262.70505092053236	6622.545454545455	8973.31080376327	0.041501305483028675	0.9957618408998702	6.400326270563359	183
D800seq	D	800	779	770.4037921655844	6.646914782805114	756.5011820330968	0.0013218750000000001	734.1303483857976	700.0330434839715	16802.333333333336	17422.453066332884	0.025664313222079526	0.9983331860723613	7.133163380329119	379
D1600seq	D	1600	1525	1487.197954884411	7.304649061261326	1417.4972314507197	0.00070546875	1294.0520575767903	1117.3493295236988	27232.5	28019.485551250567	0.04554672131147541	0.9965750518021497	7.780895676053336	725
D3200seq	D	3200	2905	2686.7093585363696	7.896072436980398	2140.4682274247493	0.00046718749999999994	1336.5276462346694	857.8681667979043	35395.38793103448	49103.068339347185	0.08913640275387258	0.9902022910792135	8.349809889824913	1305
D6400seq	D	6400	5453	4709.420884870861	8.457320225071095	2780.1143710948113	0.00035969743201830906	1083.2216031173868	578.5573965206448	49020.864583333336	57520.491043685266	0.14103509905070163	0.9829581882495351	8.883365436683508	2254
D12800seq	D	12800	9760	6946.088808709654	8.845934018812502	1891.0870518710035	0.00052879638671875	551.2207901649386	303.9855439922714	75845.1551724138	90276.58904646017	0.22686926869877047	0.9629677161781398	9.227078292042194	3360
D25600seq	D	25600	16710	7878.286696399465	8.971865734897044	803.9701100858678	0.0012438273356868894	270.15392161987796	170.72180057427465	119150.92964352721	140266.57192181563	0.3347837167954902	0.9226573698681182	9.298061650360939	3911
D51200seq	D	51200	27111	6583.792462699759	8.79236622039894	375.43791022310864	0.0026635562706113975	157.73706205808892	109.32318462454194	191368.3867595819	219930.68386142157	0.4580701682444721	0.8613160215082367	9.056817877168754	2420
D102400seq	D	102400	41962	3978.849933899527	8.288748095189336	180.48083099858943	0.005540754630101496	89.09434430269911	65.60882107576415	306443.58249419054	360905.5960977488	0.5805445687608612	0.7786401941116637	8.49315661013825	474
E100seq	E	100	100	100.00000000006726	4.605170185988764	100.0	0.01	99.99999999999999	99.99999999999997	5050.0	NA	0.0	0.9999999999999998	5.100170185988091	50
E200seq	E	200	199	199.00000000009675	5.293304824724979	199.0	0.005025125628140704	199.0	198.99999999999994	19900.0	NA	0.0	1.0	5.790792261910422	100
E400seq	E	400	395	393.12846961030164	5.974136453133537	390.2439024390244	0.0025625	385.79425773632966	379.0653046069715	13037.5	15799.999999999985	0.012341772151898734	0.9992055547648989	6.466635867593983	195
E800seq	E	800	778	769.0699812014423	6.6451819682278686	754.7169811320755	0.001325	731.8229659941571	697.3182066235507	15878.157894736842	16447.94768971419	0.026850899742930572	0.9982655120713259	7.1308055123777185	378
E1600seq	E	1600	1506	1463.1473827630932	7.28834513604399	1389.7937024972855	0.00071953125	1270.88235326326	1111.6989202842794	18302.655737704918	19207.51319915084	0.05638529216467463	0.9960543638039253	7.758653850227048	706
E3200seq	E	3200	2832	2546.7076683789383	7.842556693511648	1831.8425760286223	0.0005458984375	993.024118735901	615.1366258425614	29770.315384615384	38139.216795202636	0.11068392478813555	0.9866394660703014	8.284882814989773	1232
E6400seq	E	6400	5233	4173.468587549716	8.336502764618094	1913.6888816189185	0.0005225509797360752	735.3755290049646	432.8997996451079	52731.79098360656	64245.96841850977	0.1753551868458808	0.9735740733384519	8.74527554411022	2034
E12800seq	E	12800	9140	5237.465365425794	8.563592951401997	909.2306206284001	0.0010998309750158504	325.24679828157383	208.26013144479427	80257.21739130435	98422.55790301548	0.27708847765121947	0.9389349428780482	8.920524937169011	2741
E25600seq	E	25600	14805	4394.946122385729	8.388210551201299	377.6829114471341	0.0026477237113227835	165.32639251188903	116.09296271329528	140540.99582753825	167777.79186042456	0.4136491163792638	0.8734974591126988	8.677137540960869	2007
E51200seq	E	51200	22991	2896.4126366048704	7.971228228371075	211.46747226745904	0.004728859664692183	112.17095955725271	84.63252485530664	240566.2237487733	293956.3906212535	0.5449374250414829	0.793680264934911	8.195373865871675	303
