sample_id	condition	size	richness	d1	shannon	d2	simpson	d3	d4	chao1	ace	gini	pielou	basharin	d50
D800seq	D	800	531	327.28040061296144	5.790817297688353	133.66750208855473	0.00748125	74.72720361622096	56.08423589010259	4380.241379310344	5623.911895793475	0.321454802259887	0.9228621712413132	6.1219905029458666	131
D1600seq	D	1600	996	514.7207080337669	6.243624439060501	158.18091942659416	0.006321875	85.3125575157166	64.50026052755905	11618.394736842105	11816.988585086674	0.3644791666666667	0.9043660899274004	6.5544524131887965	196
D3200seq	D	3200	1863	770.6207978094028	6.647196420939463	167.91840215145453	0.0059552734375	86.53782230811132	64.56871255061768	21172.391891891893	23526.555424386446	0.4066307702630166	0.88274798345381	6.937979825919938	263
D6400seq	D	6400	3505	1110.1798137614192	7.0122772755663645	168.3532129322888	0.005939892578125	85.59313425680558	63.94797172666705	35195.75	43012.855007694554	0.4430475213980028	0.8591168634831892	7.285815275159331	313
D12800seq	D	12800	6575	1607.19254539725	7.382244175235395	177.80980515153553	0.005623986816406251	88.9885215201717	65.87577897634223	64218.23529411765	71102.1751142428	0.47734265684410654	0.8397165540627705	7.638770173221567	405
D25600seq	D	25600	12180	2208.6579149868016	7.700140331757138	181.14606062046724	0.005520407104492188	90.31860104865373	66.74675493199871	102872.52054794521	124061.1909893335	0.515197480500821	0.8184703874441757	7.937672630158919	417
D51200seq	D	51200	22723	2997.1750193215457	8.005425463783578	180.72569905872953	0.005533247375488281	89.90454273002788	66.41125762090293	191376.40689089417	221107.78830743674	0.5472527921186684	0.798016444628893	8.226903548792716	461
D102400seq	D	102400	41963	3979.5671289062	8.288928330782158	180.51230861831553	0.005539788436889648	89.10609118950406	65.61651039756728	306444.58249419054	361034.35756895563	0.580565669458809	0.7786553867616174	8.493323758104237	474
E100seq	E	100	71	59.776118681550265	4.090606228042547	48.07692307692307	0.020800000000000003	39.52847075210474	34.36527040296267	401.6	285.62152133580696	0.2507042253521126	0.9596277319244908	4.440585822325325	21
E200seq	E	200	134	102.62573752183957	4.631088754317679	69.93006993006993	0.014299999999999998	50.04694102113484	40.04275791603888	744.5	693.439836963364	0.29582089552238794	0.9455299757887093	4.963554347464562	34
E400seq	E	400	230	149.57490442571537	5.007797300303572	84.29926238145417	0.011862499999999998	56.75329139838122	45.20554850006123	1305.3125	1257.748615717116	0.38315217391304346	0.9208658067326289	5.293991289887575	37
E800seq	E	800	420	232.31185266789007	5.448080661582305	110.99549080818592	0.009009375	71.59141249868799	56.14373438432977	4074.5882352941176	2926.4501142245285	0.4376011904761905	0.9019492070817132	5.709877947408246	46
E1600seq	E	1600	752	317.03621098652707	5.759015997594914	115.65916689256348	0.00864609375	70.00956372718281	53.22144150894944	8331.5	7547.347698390633	0.5007313829787233	0.869564900700438	5.993586553900626	49
E3200seq	E	3200	1356	396.5328589293597	5.982758910098572	109.38768533948638	0.009141796875	66.18720662225074	51.17611468264193	27039.103448275862	20257.945034963537	0.5566035213864307	0.8294984603247021	6.194305907029398	46
E6400seq	E	6400	2508	499.97017393307766	6.214548444509088	108.25954803753139	0.009237060546875	66.0144163904824	51.368084234393905	53883.307692307695	49031.250109266766	0.5954014653110047	0.7939344571258405	6.410175631126293	44
E12800seq	E	12800	4791	638.7869207860541	6.459570941469467	107.54170325998916	0.00929871826171875	65.8802329873395	51.775312632992346	98603.50925925926	123865.29825928455	0.6181146616050928	0.7622010095453214	6.646377590178526	43
E25600seq	E	25600	9139	818.9887087371363	6.70807029711229	110.58893806877724	0.009042495727539061	68.23252348549565	53.98809849213184	143992.67153284673	198183.7744148954	0.6379413605153736	0.7354680497885169	6.88617041312625	44
E51200seq	E	51200	17556	1022.2476397552567	6.929759050369753	110.05241746803371	0.009086579132080077	68.20457572687985	54.16259377849631	251683.79245283018	325828.00355119305	0.6536549092012702	0.7090135515157374	7.100732082908229	44
E102400seq	E	102400	33675	1288.3571026484178	7.16112312184564	110.25957375949675	0.009069507217407225	68.13309522470699	53.9626763315902	407373.20666162	499916.6522888759	0.6681682987657758	0.6868972854431649	7.324992136975656	44
