sample_id	condition	size	richness	d1	shannon	d2	simpson	d3	d4	chao1	ace	gini	pielou	basharin	d50
B100seq	B	100	100	1.969761534101282	0.6778354137502426	1.420188018673	0.29586788027237176	1.31651033777369	1.277928513655775	105.2	108.66862286425629	0.9827978063337455	0.14719008991516896	0.677876594909072	1
B200seq	B	200	200	1.9707073880721324	0.6783151722482651	1.4202787014158742	0.29591283809079083	1.316573384247334	1.2779829124609834	211.60714285714286	216.95518310748298	0.9913573869725067	0.12802463977166426	0.6783255192040503	1
B400seq	B	400	400	1.9709723606828697	0.6784495164442388	1.420300815912592	0.2959238009326456	1.3165887608772722	1.2779961800071244	422.76785714285717	432.8879740856958	0.9956683255008397	0.1132360061734354	0.6784521096623378	1
B800seq	B	800	800	1.9710474966284488	0.6784876040347275	1.4203064184522378	0.2959265782310987	1.316592656390439	1.277999541198289	846.8272727272728	865.6620977998786	0.9978315467969833	0.10149992724729769	0.6784882531503835	1
B1600seq	B	1600	1600	1.9710684144747237	0.678498206270619	1.4203078296202793	0.29592727777375494	1.316593637493178	1.2780003877261115	1693.1954545454546	1730.5969197135719	0.9989151168898783	0.0919653535322142	0.6784983686510035	1
B3200seq	B	3200	3200	1.971074183607575	0.6785011300446745	1.4203081848745482	0.2959274538797879	1.3165938844737732	1.2780006008289626	3386.355353075171	3459.8443383316717	0.9994573940192117	0.08406752879794437	0.6785011706524595	1
B6400seq	B	6400	6400	1.971075756400069	0.6785019270443978	1.4203082737871768	0.295927497955389	1.3165939462878546	1.27800065416416	6774.023972602739	6919.841483231003	0.9997286558816214	0.07741873607928142	0.6785019371979305	1
B12800seq	B	12800	12800	1.971076182181567	0.6785021427850575	1.420308296074734	0.295927509003734	1.316593961782888	1.2780006675337845	13548.013135351228	13838.657762567129	0.9998643176602784	0.07174450265476598	0.678502145323639	1
B25600seq	B	25600	25600	1.9710762965711643	0.6785022007396883	1.4203083016361842	0.29592751176064536	1.3165939656493995	1.2780006708699383	27095.56424900057	27676.538361725452	0.9999321562598587	0.0668452180596329	0.6785022013743585	1
B51200seq	B	51200	51200	1.9710763271882603	0.6785022162467705	1.4203083030261416	0.2959275124496724	1.3165939666157458	1.2780006717037338	54190.66647629926	55351.94954901563	0.9999660774873042	0.06257228209827227	0.6785022164054412	1
B102400seq	B	102400	102400	1.9710763353414407	0.6785022203771242	1.4203083033734756	0.29592751262185213	1.3165939668572237	1.2780006719120889	108382.2221032341	110704.05686498959	0.9999830385829795	0.058812800195402117	0.6785022204167922	1
C100seq	C	100	100	4.805867227044396	1.56969206054342	2.4696011131571995	0.5950763082052651	2.0725411603056316	1.9233834557554896	109.0	114.06597076765985	0.9467019389565112	0.34085430009067613	1.5727197686601242	1
C200seq	C	200	200	4.950571041413022	1.5993463120321163	2.4847274940618544	0.5975413793303861	2.082056090464198	1.931230473439356	217.5263157894737	226.66322277738803	0.9692540703701445	0.30185928878664425	1.6008631728163105	1
C400seq	C	400	400	5.03495448604591	1.6162403195169965	2.492265369227852	0.598758618425205	2.086794694430461	1.935137293442523	436.0133333333333	453.20400247441626	0.9825570054265512	0.2697571364746102	1.6169995039360208	1
C800seq	C	800	800	5.0837239701971955	1.6258749503771073	2.496136550944295	0.5993808913932623	2.0892252109169456	1.9371405768748038	872.0201342281879	905.1995897706247	0.9902309058276867	0.24322653530459118	1.6262547234448752	1
C1600seq	C	1600	1600	5.11091383921524	1.6312060057689304	2.498063638804837	0.5996899420551048	2.0904348388997995	1.9381374989771318	1745.5101351351352	1809.9898261787419	0.994591089585214	0.22109776506111717	1.6313959378257556	1
C3200seq	C	3200	3200	5.125966549090943	1.6341449702758195	2.4990321345829827	0.599845081557196	2.091042712928436	1.938638463205252	3492.505084745763	3619.609967753666	0.9970328945118254	0.20247354538618528	1.6342399475881475	1
C6400seq	C	6400	6400	5.13419879942106	1.6357485140760222	2.4995155553206874	0.5999224738284534	2.0913460713116505	1.938888459037841	6985.008481764207	7237.632951820997	0.9983849389037328	0.1866429223789688	1.635796005561509	1
C12800seq	C	12800	12800	5.138671976091233	1.6366186972578887	2.4997579256559463	0.599961264354189	2.0914981630070693	1.9390137957027498	13970.015273652949	14473.865134224208	0.9991266604138616	0.1730553038318925	1.6366424437047762	1
C25600seq	C	25600	25600	5.141082308575028	1.6370872411909594	2.4998790715824786	0.5999806505172356	2.091574183922261	1.9390764431985124	27941.0254614895	28947.97289492345	0.9995304177159895	0.16128385950812352	1.6370991145905256	1
C51200seq	C	51200	51200	5.14237273891468	1.637337979759381	2.499939533024573	0.5999903250499257	2.0916121234934075	1.939107708382628	55883.543081494056	57896.146696975535	0.9997487518066928	0.15099725764559263	1.637343916503328	1
C102400seq	C	102400	102400	5.143061227101528	1.6374717221785287	2.499969754437696	0.5999951606514838	2.0916310873565283	1.9391233360746403	111767.08468191224	115790.52271973112	0.9998661464098819	0.1419365984809587	1.6374746905615487	1
D100seq	D	100	100	12.18589639310713	2.5001100566028334	4.83190131377534	0.7930421308173068	3.6428218950997255	3.212607549688783	112.0	119.61613115589628	0.8574190871369294	0.5428920008667185	2.52064947568997	2
D200seq	D	200	200	14.31471097798998	2.661084248206337	5.073569914229491	0.8029001241915739	3.7789183376241797	3.319016783675604	225.06666666666666	238.596298512871	0.8975572737686138	0.5022508211772313	2.6753310981490634	2
D400seq	D	400	400	16.264576515057495	2.78875318423593	5.247422235776681	0.8094302392549915	3.8755784154086674	3.394346886778132	450.1685393258427	475.12788105260165	0.9265991439378857	0.46545434130658964	2.7986825093404493	2
D800seq	D	800	800	17.96186598707704	2.887984361741852	5.370148914867323	0.8137854246031264	3.9433901771820934	3.447103552484151	901.4406779661017	950.0758641982327	0.9476612699820837	0.4320347208482352	2.8949335172324675	2
D1600seq	D	1600	1600	19.422804465455503	2.9661539446653964	5.459661804880417	0.8168384717335248	3.99256010998733	3.485276721126824	1802.3474576271187	1898.3960897227453	0.9627453074014213	0.4020399665483054	2.971030282684975	2
D3200seq	D	3200	3200	20.63182289401059	3.0265166707828937	5.523028459433173	0.818939915420492	4.027269296811979	3.512198341322083	3606.3781869688387	3796.453411806072	0.9735379825607074	0.37499094122621	3.0299459981244627	2
D6400seq	D	6400	6400	21.612415505632818	3.072929069166982	5.5678875955310945	0.8203986731336635	4.05177589462083	3.5311891345138346	7213.869596031183	7592.88489767951	0.9812308856575452	0.35062875301255164	3.0753445554577103	2
D12800seq	D	12800	12800	22.39621488198942	3.108535304208854	5.599796496381398	0.8214220819191907	4.069179584155524	3.544668484607621	14428.853598014888	15185.801052192	0.9866987316947834	0.32869508483762655	3.110238569997099	2
D25600seq	D	25600	25600	23.013717018532333	3.1357188057587377	5.622461154390414	0.8221419459307194	4.08152635624701	3.55422727042548	28859.4	30371.723837245427	0.990579410996875	0.3089272328315584	3.13692081360346	2
D51200seq	D	51200	51200	23.49402462630613	3.1563620676197064	5.6385213134462715	0.8226485377264986	4.090267104458347	3.5609922182392966	57720.49370455754	60742.46242990161	0.9933310541149922	0.2910834673346968	3.157210820767034	2
D102400seq	D	102400	102400	23.86374720261029	3.171966198991641	5.649882449555555	0.8230051671112796	4.096446749664748	3.565774058915497	115441.02793172246	121483.12131523821	0.9952805267356672	0.27494709477026513	3.172565760249038	2
E100seq	E	100	100	2.7426190022583166	1.0088076904367722	1.7337203311981664	0.42320570278546343	1.5480477380137752	1.478001074798761	106.17647058823529	109.97398543184184	0.9740292362768497	0.219059806629127	1.0091768730143378	1
E200seq	E	200	200	2.753883427836504	1.0129043416540995	1.7348721626604235	0.42358865308755567	1.5488181562256118	1.4786547309188	213.1818181818182	220.07006643898436	0.9865833730931751	0.1911747204969769	1.013035483231647	1
E400seq	E	400	400	2.758468553193947	1.0145669213330806	1.7352815451470245	0.42372463834664165	1.5490920878868604	1.478887174548268	427.65625	440.07878184884237	0.9931372212019647	0.1693353792476001	1.0146133978645289	1
E800seq	E	800	800	2.760258145444929	1.015215023502993	1.7354227903490203	0.4237715411131113	1.5491867031828142	1.4789674721110657	856.2204724409448	880.5397292331587	0.9965141016088063	0.15187344678539363	1.0152314753593432	1
