group	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper
All	0	28.99	0.926544574472728	27.17400600396246	30.805993996037536	1	0.9373579166596228	1.0626420833403774
All	1	28.64436670611168	1.2383108342517013	26.217322069312598	31.07141134291076	0.988077499348454	0.9043574359887064	1.0717975627082015
All	2	28.15845588235294	1.6629195895303923	24.89919337768724	31.41771838701864	0.9713161739342167	0.8588890437284319	1.0837433041400013
All	3	27.5166779751735	2.1854748014523984	23.233226075206975	31.800129875140026	0.9491782675120215	0.801422079172369	1.096934455851674
All	4	26.743168786521238	2.7468203478856412	21.3594998326636	32.126837740378875	0.9224963362028713	0.7367885420028838	1.1082041304028587
